lemma,pos,semantic_relationship,sense_source,sense_target
Wetterfrosch,noun,broader,"Meteorologe, Person die sich für das Wetter interessiert",A funny denomination or attribution for people who make or communicate weather forecasts.
Widder,noun,exact,"männliches Schaf, Schafbock",Ein männliches Schaf.
Widder,noun,broader,Sternbild,Eines der zwölf Sternbilder des Zodiak.
Widder,noun,broader,Sternbild,"Das erste Zeichen des Tierkreises, das von der Sonne im Frühlingsäquinoktium betretten wird die Sonne ist ungefähr vom 21. März bis zum 19. April in diesem Zeichen."
Widder,noun,exact,eines der zwölf Tierkreiszeichen (Sternzeichen),Eines der zwölf Sternbilder des Zodiak.
Widder,noun,broader,eines der zwölf Tierkreiszeichen (Sternzeichen),"Das erste Zeichen des Tierkreises, das von der Sonne im Frühlingsäquinoktium betretten wird die Sonne ist ungefähr vom 21. März bis zum 19. April in diesem Zeichen."
Widerstand,noun,broader,Bauelement zur Realisierung eines Widerstandes 2,Zweipoliges elektronisches Bauteil zur Realisierung eines definierten elektrischen Widerstandes
Widerstand,noun,broader,Widerstandskraft (eine der Bewegung entgegengesetzte Kraft),"Physik: Maß für die Eigenschaft von Gegenständen (z. B. elektronischen Bauteilen, Drähten), den Stromfluss zu hemmen"
Wirbel,noun,broader,Knochen der Wirbelsäule,"Jeder der kleinen Knochen, aus denen das Rückgrat."
Wirbel,noun,exact,Vorrichtung zum Spannen der Saiten bei Saiteninstrumenten,"Schwenkteil in einem Saiteninstrument, um die sich die Schnur gewickelt ist, und wird verwendet, um dessen Spannung einzustellen."
Zeitalter,noun,narrower,größerer Abschnitt der Menschheitsgeschichte,"Eine Zeitspanne, in der Geschichte als eine einzige zusammenhängende Einheit gesehen."
Zeitalter,noun,narrower,größerer Abschnitt der Menschheitsgeschichte,Eine geschichtliche Zeitspanne.
Zeitalter,noun,narrower,Erdzeitalter,"Eine Zeitspanne, in der Geschichte als eine einzige zusammenhängende Einheit gesehen."
Zeitalter,noun,narrower,Erdzeitalter,Eine geschichtliche Zeitspanne.
Zeitenwende,noun,exact,"der Übergang, die Wende von einem für wesentlich erachteten Zeitabschnitt (Ära, Epoche, Jahrtausend, Säkulum) zum nächsten",Das Ende der einen und Anfang einer neuen Ära.
Zeitenwende,noun,exact,Beginn der christlichen Zeitrechnung,Der Beginn der christlichen Zeitrechnung.
Zensur,noun,broader,"besonders staatliche, aber auch von religiösen Institutionen durchgeführte Kontrolle und etwaige Anpassung oder Verbot von Presse, Kunst, Rundfunk, Filmen und anderen Medienerzeugnissen, sowie Briefen und ähnlichen Korrespondenzen nach sittlichen, religiösen oder politischen Kriterium|Kriterien","Behörde, die für die Ausübung von Zensur zuständig ist."
Zensur,noun,broader,"besonders staatliche, aber auch von religiösen Institutionen durchgeführte Kontrolle und etwaige Anpassung oder Verbot von Presse, Kunst, Rundfunk, Filmen und anderen Medienerzeugnissen, sowie Briefen und ähnlichen Korrespondenzen nach sittlichen, religiösen oder politischen Kriterium|Kriterien",Die Kontrolle und Überwachung von Inhalten und Unterdrückung von unerwünschten Inhalten durch eine Regierung oder andere einflußreiche Organisation.
Zensur,noun,exact,"Institution, die mit der Ausführung der in 2 beschriebenen Maßnahmen beauftragt ist","Behörde, die für die Ausübung von Zensur zuständig ist."
Ziel,noun,exact,Ausrichtung oder Endpunkt einer Bestrebung,"Das, was man erreichen oder machen möchte."
Zitronatzitrone,noun,exact,Exemplar der Baumart Citrus medica,"Der Strauch Citrus medica, ein kleiner immergrüner Baum oder Strauch."
Zitronatzitrone,noun,exact,"Zitrusfrucht mit sehr dicker, runzeliger Schale, die an 1 wächst","Die Frucht des Citrus medica, eine große zitronenartige Frucht mit dicker, grün-gelber Schale."
Zitrone,noun,exact,eine gelbe Zitrusfrucht,Eine gelbe Zitrusfrucht.
Zitrone,noun,broader,ein halbtropischer immergrüner Baum,"Immergrüner Baum aus der Gattung der Zitruspflanzen (Citrus), welcher gelbe Früchte mit saurem Geschmack hervorbringt."
Zukunft,noun,exact,"Zeit, die noch kommen|kommt","Die Zeit, die noch kommen wird Momente, die noch nicht erlebt wurden."
Zukunft,noun,exact,deutsche Entsprechung zu Futur I,"Die Zeitstufe des Verbs (Tempus), die einen Vorgang beschreibt, der noch nicht eingetreten ist, von denen man aber erwartet, dass er in der Zukunft geschieht."
Zweier,noun,broader,die Schulnote gut (2),Zweitbeste Schulnotenstufe in Österreich.
Zweier,noun,broader,die Schulnote gut (2),Zweitbeste Schulnotenstufe in Österreich.
Zylinder,noun,narrower,geometrischer Körper mit kreisrunder Grundfläche und dazu kongruenter Deckfläche,Dreidimensionaler Körper mit zwei kongruenten parallelen Grundflächen
Zylinder,noun,broader,"für spezielle Hut|Hüte, die in der Form  ähneln","Männerhut aus Seide mit hoher, zylindrischer Form."
Ehe,noun,narrower,"institutionell anerkannte und beurkundete Verbindung zweier oder mehr Menschen, die in der Regel durch eine Liebesbeziehung, gemeinsame Lebensführung und dauerhaftes Bestehen gekennzeichnet ist","Verbindung zweier Personen (meist Mann und Frau), welche rechtliche Verpflichtungen schafft und bis zum Lebensende bestehen soll."
Ehe,noun,broader,"institutionell anerkannte und beurkundete Verbindung zweier oder mehr Menschen, die in der Regel durch eine Liebesbeziehung, gemeinsame Lebensführung und dauerhaftes Bestehen gekennzeichnet ist",Der Zustand des Verheiratetseins.
Möbel,noun,broader,großer Einrichtungsgegenstand,"Bewegliche Gegenstände in einem Raum oder einer Behausung, die zum Leben und Arbeiten dienen."
Möbel,noun,broader,großer Einrichtungsgegenstand,"Bewegliche Gegenstand in einem Raum, der menschliche Aktivitäten unterstützt, z.B. ein Bett oder ein Tisch."
Vergehen,noun,narrower,"Straftat, die im Mindestmaß mit Geldstrafe oder Freiheitsstrafe von unter einem Jahr bedroht ist ()","Etwas, das von einer Person getan wurde und mit gewissen gesetzlichen bzw. juristischen Folgen behaftet ist."
Vergehen,noun,exact,"eine Handlung, die gegen die Moral oder gegen das Gesetz verstößt",Eine Tat gegen die Regeln der natürlichen oder justitiablen Gerechtigkeit.
Vergehen,noun,broader,"Straftat, die im Mindestmaß mit Geldstrafe oder Freiheitsstrafe von unter einem Jahr bedroht ist ()",Eine rechtlich verfolgbare Tat der Schwere unterhalb eines Verbrechens und oberhalb einer Ordnungswidrigkeit.
Grenze,noun,broader,"Rand eines Raumes und damit ein Trennwert, eine Trennlinie oder Trennfläche",Trennlinie zwischen politischen oder geografischen Regionen.
Grenze,noun,broader,"Rand eines Raumes und damit ein Trennwert, eine Trennlinie oder Trennfläche","Der Punkt, Rand oder Linie, über den/die etwas nicht hinausgehen kann."
Abfallbehälter,noun,narrower,Gegenstand mit einem hinreichenden Innenvolumen zum Aufbewahren oder Transportieren von Abfall,Behälter für Abfall usw.
Abfallbehälter,noun,narrower,Gegenstand mit einem hinreichenden Innenvolumen zum Aufbewahren oder Transportieren von Abfall,Behälter in dem Abfälle gesammelt werden.
Eigenschaft,noun,exact,"Teilaspekt einer Sache, eines Wesens. Was jemanden oder etwas zu eigen ist.",Eine definierende Charakteristik.
Eigenschaft,noun,broader,"Teilaspekt einer Sache, eines Wesens. Was jemanden oder etwas zu eigen ist.","Charakteristisches Merkmal, das eine Sache oder eine Person unterscheidet."
Untersuchung,noun,broader,"die genauere Betrachtung, Beobachtung oder das Betasten zur Bestimmung eines Sachverhalts oder Objektes","Eine qualitative oder quantitative Bestimmung der Komponenten eines Materials, wie eines Erzes oder einer Droge."
Untersuchung,noun,narrower,"die genauere Betrachtung, Beobachtung oder das Betasten zur Bestimmung eines Sachverhalts oder Objektes","Eine detaillierte, kritische Prüfung."
Beruf,noun,narrower,"spezielle, erlernte Erwerbstätigkeit","Produktive Aktivität, Dienstleistung, Gewerbe oder Handwerk, für das man regelmäßig bezahlt wird."
Beruf,noun,narrower,"spezielle, erlernte Erwerbstätigkeit",Eine Beschäftigung die spezialisiertes Wissen erfordert.
Krankheitserreger,noun,broader,"Organismus oder seltener ein Stoff , der eine Krankheit verursacht",Ein pathogener Mikroorganismus.
Krankheitserreger,noun,exact,"Organismus oder seltener ein Stoff , der eine Krankheit verursacht","Ein Stoff oder Organismus, der Krankheiten hervorruft."
Mund,noun,narrower,"Öffnung im unteren Teil des (hauptsächlich menschlichen) Gesichtes, hauptsächlich zur Nahrungsaufnahme und zur Lautbildung genutzt",Die Öffnung die einem Lebewesen zur Nahrungsaufnahme dient.
Mund,noun,broader,"Öffnung im unteren Teil des (hauptsächlich menschlichen) Gesichtes, hauptsächlich zur Nahrungsaufnahme und zur Lautbildung genutzt",Womit die Menschen sprechen.
Mund,noun,exact,"Öffnung im unteren Teil des (hauptsächlich menschlichen) Gesichtes, hauptsächlich zur Nahrungsaufnahme und zur Lautbildung genutzt","Öffnung in der unteren Gesichtshälfte des Menschen, die zur Nahrungsaufnahme und Lautbildung dient."
Jaguar,noun,narrower,"(in Mittelamerika|Mittel- und Südamerika beheimatetes, zu den Großkatzen zählendes) leopardenähnliches Raubtier, das ein rötlich gelbes Fell mit schwarzen Tupfen und einen langen Schwanz hat","Große Raubkatze mit geflecktem Fell, die in Süd- und Zentralamerika beheimatet ist."
Vorhersage,noun,broader,"eine Aussage über etwas, das in Zukunft sein wird",Schätzung über einen Zustand in der Zukunft.
Vorhersage,noun,exact,"eine Aussage über etwas, das in Zukunft sein wird",Aussage über zukünftige Ereignisse.
Haar,noun,broader,"Hornfäden, die auf dem Körper von Menschen und Säugetieren wachsen","Die Gesamtheit der Filamente, die aus der Haut von Menschen und Tieren wachsen und einen Teil des Kopfes und einen Teil bzw. den ganzen Körper bedecken."
Haar,noun,broader,"Hornfäden, die auf dem Körper von Menschen und Säugetieren wachsen","Eines der Filamente, die aus der Haut von Menschen und Tieren wachsen und einen Teil des Kopfes und einen Teil bzw. den ganzen Körper bedecken."
Haar,noun,exact,Gesamtheit der Kopfhaare,Die Gesamtheit der Haare auf dem Kopf einer Person.
Halbbruder,noun,exact,"männliche Person, die mit einer anderen ein gemeinsames Elternteil hat","Bruder, mit dem man nur ein Elternteil gemeinsam hat."
Schmarotzer,noun,narrower,"Organismus, der seine Nahrung (zum einseitigen Nutzen) auf Kosten anderer Pflanzen oder Tiere gewinnt, indem er auf oder in ihnen lebt","Organismus, der auf Kosten eines anderen Organismus (des Wirts) lebt und Nahrung bezieht."
Schmarotzer,noun,broader,"faule Person, die vom Geld, von der Arbeit anderer lebt","Jemand, der seine Mitmenschen ausnutzt"
Schmarotzer,noun,broader,"faule Person, die vom Geld, von der Arbeit anderer lebt","Eine Person, die gerne andere bezahlen lässt."
Lautstärke,noun,broader,Stärke/Intensität des Schalls,"Physikalische Messgröße von Schall, für gewöhnlich in Dezibel angegeben."
Lautstärke,noun,broader,Stärke/Intensität des Schalls,"Das Ausmaß der physiologischen Empfindung, die von einem Ton erzeugt wird und welches direkt abhängt sowohl von dem Geräuschpegel und der Frequenz des Tons, als auch von der Wellenform."
Jahr,noun,broader,"periodischer wiederkehrender Zeitraum, etwa ein Umlauf der Erde um die Sonne, 12 Monate, 365 Tage","Die Zeit, die die Erde benötigt, um die Sonne einmal vollständig zu umrunden (zwischen 365,24 und 365,26 Tagen, abhängig vom Referenzpunkt)."
Jahr,noun,narrower,"periodischer wiederkehrender Zeitraum, etwa ein Umlauf der Erde um die Sonne, 12 Monate, 365 Tage","Die Zeit, die ein Himmelskörper benötigt um einen anderen einmal zu umrunden."
Brennholz,noun,broader,"Holz, das zum Heizen oder Kochen verbrannt wird","Holz, das zum Heizen verwendet wird."
Brennholz,noun,narrower,"Holz, das zum Heizen oder Kochen verbrannt wird","Holz, das verbrannt werden soll."
Ethanol,noun,broader,legale Droge in vielen Getränken und Arzneien; Alkohol mit der Summenformel COH,"Farblose, mit Wasser mischbar Flüssigkeit, die als Lösungsmittel oder Reagens verwendet wird."
Ethanol,noun,broader,legale Droge in vielen Getränken und Arzneien; Alkohol mit der Summenformel COH,"Farblose, leichtentzündliche Flüssigkeit, die unter anderem als Lösungsmittel, Desinfektionsmittel und Rauschmittel verwendet wird."
Steuer,noun,broader,Vorrichtung zum Lenken eines Fahrzeuges,"Ein ringförmiges Objekt, das benutzt wird, um bestimmte Fahrzeugtypen zu steuern."
Titan,noun,broader,"chemisches Element mit der Ordnungszahl 22, das zur Serie der Übergangsmetalle gehört","Chemisches Element mit dem Symbol Ti und der Ordnungszahl 22, festes, weißes Übergangsmetall, das gut verformbar und sehr korrosionsbeständig ist es kommt in Rutil und Ilmenit vor und wird zur Herstellung von Leichtmetalllegierungen hoher Festigkeit verwendet, vor allem für Flugzeugteile."
Wettervorhersage,noun,broader,eine Aussage über den angenommenen Verlauf des Wetters in der nächsten Zeit,"Ein Wissenschaftszweig, der sich mit dem Studium der Dynamiken der Atmosphäre und den direkten Einflüssen der Atmosphäre auf die Erdoberfläche, Ozeane und Erbbewohner beschäftigt, mit besonderem Fokus auf Wetter und Wetterbedingungen."
Wettervorhersage,noun,broader,eine Aussage über den angenommenen Verlauf des Wetters in der nächsten Zeit,"Das Vorhersagen oder Aufzeigen von meteorologischen Bedingungen, die für eine bestimmte Zeitspanne und ein bestimmtes Gebiet oder einen bestimmten Lufttraum erwartet werden, unter Zuhilfenahme von objektiven Modellen, die auf bestimmten atmosphärischen Parametern basieren sowie den Fähigkeiten und der Erfahrung eines Meteorologen."
Zoologie,noun,narrower,"die Wissenschaft, die sich mit den Erscheinungen tierischen Lebens (Fauna) befasst; die Naturgeschichte der Tiere im weitesten Umfange oder die wissenschaftliche Behandlung alles dessen, was auf das Tierreich Bezug hat","Erforschung der Tiere, einschließlich ihres Körperbaus, ihrer Systematik, Physiologie und Geschichte."
Zoologie,noun,narrower,"die Wissenschaft, die sich mit den Erscheinungen tierischen Lebens (Fauna) befasst; die Naturgeschichte der Tiere im weitesten Umfange oder die wissenschaftliche Behandlung alles dessen, was auf das Tierreich Bezug hat",Das wissenschaftliche Studium der Tiere.
Inversion,noun,exact,"Umkehr, Umkehrung einer Sache",Die Umkehr einer Sache. Inversion stammt vom lateinisch Inversio: die Umkehrung.
Inversion,noun,narrower,"In der atmosphärischen Schicht eine Temperaturumkehr, bei der die Temperatur ungewöhnlicherweise ansteigt",In den Naturwissenschaften die Umkehr des Gradienten einer bestimmten physikalischen Größe (meist Temperaturinversion).
Inversion,noun,broader,"In der atmosphärischen Schicht eine Temperaturumkehr, bei der die Temperatur ungewöhnlicherweise ansteigt","Ein Wetterphänomen, bei dem die Temperatur in der Erdatmosphäre bei steigender Höhe zunimmt."
Weltraum,noun,broader,Raum außerhalb der Erdatmosphäre,"Der Raum zwischen einer Sonne und den Planeten eines Sonnensystems. Der interplanetare Weltraum ist nicht leer, sondern er enthält Staub, elektrisch geladene Teilchen und das magnetische Feld der Sonne, das sogenannte interplanetere Magnetfeld oder IMF."
Weltraum,noun,broader,Raum außerhalb der Erdatmosphäre,Ein relativ leerer Bereich sehr geringer Dichte im Universum außerhalb der Atmoshpäre von Himmelskörpern.
Afghane,noun,narrower,"Staatsbürger, Bewohner von Afghanistan",Person afghanischer Nationalität oder afghanischer Herkunft.
Afghane,noun,broader,eine Hunderasse,Ein Hund der der aus Afghanistan stammenden Windhundrasse angehört
Afghane,noun,broader,"Staatsbürger, Bewohner von Afghanistan",Ein Staatsbürger Afghanistans
Ainu,noun,broader,ein indigenes Volk Nordjapans,"Eine Ethnie, die auf Hokkaido, Nord-Honshu, Sachalin und den Kurilen heimisch war bzw. ist. Eine ethnische Minderheit in Japan. Heutzutage bezeichnen sich rund 27.000 Japaner selbst als Ainu."
Ainu,noun,narrower,Angehöriger des gleichnamigen Volkes,"Eine Person, die der ethnischen Gruppe der Ainu angehört."
Anamnese,noun,narrower,"die Vorgeschichte einer Krankheit, die im Gespräch mit dem Kranken (Eigenanamnese) oder mit den Angehörigen (Fremdanamnese) zur Diagnosestellung ermittelt wird","Medizin: Eine Auflistung der verschiedenen Krankheiten, Symptome, Behandlungen etc, die ein Patient im Lauf seines Lebens erlebt hat."
Anamnese,noun,related,ein Gebet während der Eucharistie,Liturgie: Das feierliche Gedächtnis des Todes und der Auferstehung Christi bei der Feier der Eucharistie.
Anode,noun,exact," Elektrode, die Elektronen aufnimmt, die von der Kathode abgegeben werden; Gegenpol zur Kathode",Die elektronenabsorbierende Elektrode einer Elektronenröhre
Anode,noun,related,"Elektrode, an der eine Oxidationsreaktion stattfindet",Negativer Anschluss eines galvanischen Elements
Anode,noun,related,"Elektrode, an der eine Oxidationsreaktion stattfindet",Positive Elektrode bei der Elektrolyse
Übersetzung,noun,exact,Übertragung eines Wortes/eines Textes von einer Sprache in eine andere,"Die Handlung, Wörter und Texte von einer Sprache in eine andere zu wandeln."
Übersetzung,noun,related,Übertragung eines Wortes/eines Textes von einer Sprache in eine andere,Ergebnis der Übertragung eines Worts oder eines Textes von einer Sprache in eine andere
Arbeiterin,noun,narrower,"weibliche Person, die zum Lohnerwerb einer Tätigkeit nachgeht","Eine Person, die arbeitet."
Arbeiterin,noun,narrower,"weibliche Person, die zum Lohnerwerb einer Tätigkeit nachgeht","Eine weibliche Person, die arbeitet."
Arschloch,noun,exact,After,"Die untere Öffnung des Verdauungstrakts, durch die der Kot den Körper verläßt."
Bandbreite,noun,related,Umfang aller Varietäten einer bestimmten Sache,Weitläufige Reihe von Elementen oder Phänomenen.
Birke,noun,exact,Holz von,Das Holz der Birke.
Bulle,noun,narrower,"besonders im Mittelalter gebräuchliches, kreisrundes metallenes  Siegel oder Siegelkapsel (zumeist aus Blei, Gold, Silber)::b  mit einem an einer Schnur liegendem Bleisiegel versehener, auf Lateinisch abgefasster, weihevoller päpstlicher Erlass <<subdef marker for testing>>",Eine mittelalterliche päpstliche Urkunde.
Bulle,noun,narrower,"besonders im Mittelalter gebräuchliches, kreisrundes metallenes  Siegel oder Siegelkapsel (zumeist aus Blei, Gold, Silber)::b  mit einem an einer Schnur liegendem Bleisiegel versehener, auf Lateinisch abgefasster, weihevoller päpstlicher Erlass <<subdef marker for testing>>","Siegel aus Gold oder Blei, manchmal aus Silber."
Doktor,noun,exact,Person mit medizinischer Ausbildung,"Eine Person, die ein Studium der Medizin abgeschlossen hat und versucht Krankheiten bei Patienten zu diagnostizieren und zu heilen."
Doktor,noun,exact,"akademischer Grad, den man nach erfolgreicher Promotion und erfolgter Verleihung durch eine Hochschule führen darf","Person, die einen Doktortitel erworben hat."
Doktor,noun,related,"akademischer Grad, den man nach erfolgreicher Promotion und erfolgter Verleihung durch eine Hochschule führen darf","Eine der höchsten akademischen Grade, die an einer Universität erworben werden kann."
Ehegespons,noun,broader,"die Ehegattin, die Braut",Eine verheiratete Frau.
Ehegespons,noun,broader,"der Ehemann, der Bräutigam",Männlicher Partner in einer Ehe.
Ehegespons,noun,narrower,"der Ehemann, der Bräutigam",Ein Verheirateter Eine verheiratete Frau oder ein verheirateter Mann.
Ehegespons,noun,broader,"die Ehegattin, die Braut",Ein Verheirateter Eine verheiratete Frau oder ein verheirateter Mann.
Eibe,noun,exact,Holzart von 1,Das Holz der Eibe.
Elf,noun,related,keltische und germanische Märchen- und Sagengestalt; Naturgeist mit guter oder schlechter Gesinnung,"Ein mythisches Wesen der germanischen Mythologie. In der nordischen Mythologie waren sie ursprünglich mindere Götter der Natur und Fruchtbarkeit. Sie wurden oft als jugendlich anmutende Männer und Frauen von großer Schönheit dargestellt, die in der Natur, unter der Erde oder an Quellen leben. Sie wurden als langlebig oder unsterblich dargestellt und ihnen wurden magische Kräfte nachgesagt."
Esche,noun,narrower,Holzmaterial aus 1,Das Holz der Esche.
Feuerball,noun,broader,kugelförmiger Gegenstand aus glühendem oder brennendem Material,"Sehr heller Meteorit, der heller als ein Stern sein kann."
Haken,noun,broader,"geschwungen oder eckig gekrümmte Vorrichtung zum Aufhängen oder Einhaken von Objekten, meist aus Metall, Holz oder Kunststoff geformt.",Ein gebogenes Bauteil zum Anbringen von Lasten.
Haken,noun,broader,"Eckzähne einiger Wildtiere, vor allem von weiblichen Wildschweinen (Bachen), aber auch Rotwild",Die Eckzähne der weiblichen Wildschweine (Bachen).
Haken,noun,broader,winkeliges Schriftzeichen,"Ein Schriftsymbol, um etwas Erledigtes oder etwas Richtiges zu kennzeichnen (abhaken)."
Haken,noun,exact,Schlagtechnik beim Boxen,Eine Schlagtechnik im Boxsport.
Haken,noun,narrower,Plötzliche Richtungsänderung bei fliehenden Tieren; seltener auf Menschen übertragen.,Eine Änderung der Bewegungsrichtung um Auszuweichen.
Halle,noun,broader,"großer und hoher Aufenthaltsraum|Aufenthalts-, Empfangsraum|Empfangs- oder Lagerraum im Erdgeschoss","Sehr großer Raum in einem Gebäude, in dem Gegenstände, auch große, gelagert, abgestellt, umgeschlagen oder untergestellt werden."
Halle,noun,broader,"großer und hoher Aufenthaltsraum|Aufenthalts-, Empfangsraum|Empfangs- oder Lagerraum im Erdgeschoss","Großer Raum oder Gebäude, in dem Versammlungen und Veranstaltungen stattfinden können oder andere Platz beanspruchende Aktivitäten oder Arbeiten stattfinden."
Infamie,noun,exact,"infame, niederträchtige Handlung","Eine infame, niederträchtige Handlung."
Kadaver,noun,related,"toter, in Verwesung begriffener Tierkörper","Ein Tier oder Mensch, das/der von einem andern Tier oder einer Person zu Tode gebracht wurde, oft zum Zwecke, aufgegessen zu werden."
Kadaver,noun,related,"toter, in Verwesung begriffener Tierkörper","Körper eine toten Tieres, an dem andere Tiere zu fressen begonnen haben"
Kadaver,noun,narrower,"toter, in Verwesung begriffener Tierkörper",Der tote Körper eines Tieres.
Kathode,noun,exact,"Elektrode, die Elektronen in das angrenzende Medium des Bauteils abgibt",Die elektronenemittierende Elektrode einer Elektronenröhre
Kathode,noun,related,"Elektrode, an der die Reduktionsreaktion stattfindet",Positiver Anschluss eines galvanischen Elements
Kathode,noun,related,"Elektrode, an der die Reduktionsreaktion stattfindet",Negative Elektrode bei der Elektrolyse
Kreuzkümmel,noun,exact,Gewürz aus dem Samen von 1,Gewürz aus den getrockneten Samen der gleichnamigen Pflanze (Cuminum cyminum).
Kurkuma,noun,narrower,"auch das Kurkuma; Gewürz aus den Gelbwurzeln der Kurkuma, auch verwendet zur Herstellung von Curry","Gewürz, das häufig in Currys und anderen Gerichten der südasiatischen Küche verwendet wird."
Lavendel,noun,exact,wissenschaftlich  Pflanzenart aus der Familie der Lippenblütengewächse (Lamiaceae),Pflanze (Lavandula) aus der Familie der Lippenblütler mit kleinen blauen bzw. mauvefarbenen an Ähren angeordneten Blüten.
List,noun,related,"schlauer Plan, ein bestimmtes Ziel mithilfe einer Täuschung zu erreichen",Ein irreführendes Manöver (insbesondere um Gefangennahme zu vermeiden).
List,noun,exact,"schlauer Plan, ein bestimmtes Ziel mithilfe einer Täuschung zu erreichen","Ein ausgefeilter oder hinterlistiger Plan, der entworfen wurde um zu täuschen oder auszuweichen."
List,noun,broader,"schlauer Plan, ein bestimmtes Ziel mithilfe einer Täuschung zu erreichen",Ein Manöver in einem Spiel oder einer Unterhaltung.
Morgen,noun,narrower,"das Zukünftige, Morgige",Metaphorischer Ausdruck für die Zukunft
Orange,noun,broader,"Name eines Abschnitts (zwischen Rot und Gelb) im sichtbaren Bereich (Licht) des Spektrum|Spektrums der elektromagnetisch|elektromagnetischen Welle|Wellen, Malfarbe, Streichfarbe","Farbe einer reifen Apfelsine, ein rötliches Gelb."
Putsch,noun,narrower,"der Versuch einer meist kleineren Gruppe, gewaltsam die Regierung zu stürzen und die Macht im Staat diktatorisch zu übernehmen",Der plötzliche Umsturz einer Regierung.
Putsch,noun,related,"die oft überraschende Absetzung von Funktionären in Organisationen (etwa Parteien, Vereine, Gremien), forciert durch Einzelpersonen, eine kleinere Gruppe, einen Flügel etc., auch auf regelkonformem Wege","Der plötzliche Sturz einer Regierung, oft durch ungestzliche Mittel und Wege durch einen Teil der eitung eines Staates, wobei meist nur die Personen auf den oberen Ebenen ausgewechselt werden."
Putsch,noun,related,"die oft überraschende Absetzung von Funktionären in Organisationen (etwa Parteien, Vereine, Gremien), forciert durch Einzelpersonen, eine kleinere Gruppe, einen Flügel etc., auch auf regelkonformem Wege","Ein plötzlicher, entscheidender Einsatz von Macht, wodurch eine bestehende Regierung ohne Zustimmung der Menschen abgesetzt wird."
Quark,noun,exact,"Elementarteilchen, einer der Grundbausteine aller Materie","Elementarteilchen, aus dem Protonen und Neutronen aufgebaut sind"
Sahne,noun,narrower,"(gesüßte) Sahne mit einem Fettanteil von 30–35 %, die geschlagen wurde",Sahne mit maximal 40% Fett
Sahne,noun,exact,"fettreicher Teil der Milch, der beim Stehenlassen eine obere Phase bildet","Der fettreiche Anteil der Milch, der sich beim Stehenlassen an deren Oberfläche sammelt. Er wird durch Abschöpfen oder durch Zentrifugieren gewonnen. Die Trennung erfolgt in beiden Fällen aufgrund der im Vergleich zur verbleibenden Magermilch geringeren Dichte des Milchfetts."
Sahne,noun,exact,"(gesüßte) Sahne mit einem Fettanteil von 30–35 %, die geschlagen wurde","Sahne mit hohem Fettgehalt (um 30%), unter die durch schnelles Schlagen Luft gemischt wurde"
Schafskopf,noun,exact,"dummer, einfältiger Mensch",Ein dummer Mensch
Schafskopf,noun,exact,der Kopf eines Schafes,Der Kopf eines Schafs.
Scheiße,noun,exact,"meist feste Ausscheidung des Darmes, Kot","Die feste Ausscheidung aus Abfallstoffen der Verdauung, die Mensch und Tier von Zeit zu Zeit abgeben, nachdem sie im Dickdarm gesammelt wurde."
Scheiße,noun,related," etwas Schlechtes, Wertloses, Unsinniges; Schwierigkeiten","Etwas Gesagtes, das keinen Sinn besitzt, völlig falsch oder ganz und gar nutzlos ist."
Schwarzseher,noun,exact,"jemand, der alles - besonders Zukünftiges - pessimistisch betrachtet","Eine Person, die das Schlimmste erwartet und Dinge von ihrer schlechten Seite sieht."
Schwarzseher,noun,exact,"jemand, der illegal fernsehen|fernsieht (also ohne Gebühren zu bezahlen)","Jemand, der illegal, das heißt ohne Gebühren zu bezahlen obwohl es verlangt wird, fernsieht."
Sonnenschein,noun,narrower,"die Lichtstrahlen der Sonne, die die Erde erreichen",Das direkte Licht der Sonne.
Ständer,noun,related,"freistehende Vorrichtung, um etwas daran aufrecht zu positionieren oder aufzuhängen",Einer von mehreren Stützstrukturen eines Objekts.
Ständer,noun,exact,erigiertes männliches Glied,Ein erigierter Penis.
Ständer,noun,exact,erigiertes männliches Glied,Ein erigiertes männliches Geschlechtsteil
Strecke,noun,exact,beidseitig begrenzte gerade Linie,"Eine gerade Linie, die von zwei Punkten begrenzt wird. Stellt die kürzeste Verbindung der beiden Endpunkte dar."
Strecke,noun,exact,gesamte Beute einer Jagd,Begriff für alle erlegten Tiere einer Jagd.
Strecke,noun,exact,Maschine zum strecken|Strecken von Kardenband|Kardenbändern in der Textilindustrie,Eine Maschine zum Strecken von Kardenbändern.
Tasche,noun,exact,"tragbares Behältnis mit Griff, Trageriemen|Trage- oder Umhängeriemen zum Transport von Gegenständen","Ein flexibler Behälter aus Stoff, Papier, Kuststoff, Leder etc., der dazu dient, Dinge hineinzutun oder diese wegzutragen."
Tasche,noun,broader,"Aufbewahrungsort von Gegenständen in der Kleidung, auf- oder eingenäht","Eine Art Stoffsäckchen, das durch eine Öffnung in einem Kleidungsstück zugänglich ist und dazu dient, Gegenstände aufzunehmen in der Regel groß genug, um wenigstens eine Hand darin unterzubringen."
Tisch,noun,exact,"Möbelstück, das aus einer Platte mit vier oder drei Beinen oder mittigen Standfuß besteht","Ein Möbelstück, das üblicherweise aus einer harten, flachen, horizontalen Fläche besteht, die über den Boden erhoben ist und von drei oder mehr Beinen (gewöhnlich vier) stabilisiert wird."
Tisch,noun,exact,um einen Tisch  versammelte Gesellschaft,Eine an einem Tisch für eine Mahlzeit oder ein Spiel versammelte Gesellschaft von Leuten.
Tor,noun,narrower,Narr,Person mit mangelndem Urteilsvermögen oder niedriger Intelligenz.
