lemma,pos,semantic_relationship,sense_source,sense_target
commission,verb,narrower,place an order for,to send out with a charge or commission.
commission,verb,narrower,charge with a task,to send out with a charge or commission.
coupled,adjective,exact,"connected by a link, as railway cars or trailer trucks","connected by a physical link, as railway cars or trailer trucks.  opposite of  or"
coupled,adjective,exact,joined together especially in a pair or pairs,joined together especially in a pair or pairs.
adjustment,noun,exact,the act of adjusting something to match a standard,"the act of adjusting, or condition of being adjusted; act of bringing into proper relations; regulation."
adjustment,noun,narrower,making or becoming suitable; adjusting to circumstances,"the operation of bringing all the parts of an instrument, as a microscope or telescope, into their proper relative position for use; the condition of being thus adjusted;"
adjustment,noun,narrower,the act of making something different (as e.g. the size of a garment),"the operation of bringing all the parts of an instrument, as a microscope or telescope, into their proper relative position for use; the condition of being thus adjusted;"
sack,noun,related,a woman's full loose hiplength jacket,"a sack coat; a kind of coat worn by men, and extending from top to bottom without a cross seam."
sack,noun,exact,a loose-fitting dress hanging straight from the shoulders without a waist,"originally, a loosely hanging garment for women, worn like a cloak about the shoulders, and serving as a decorative appendage to the gown; now, an outer garment with sleeves, worn by women; ."
sack,noun,exact,the plundering of a place by an army or mob; usually involves destruction and slaughter,"the pillage or plunder, as of a town or city; the storm and plunder of a town; devastation; ravage."
sack,noun,exact,any of various light dry strong white wine from Spain and Canary Islands (including sherry),a name formerly given to various dry spanish wines.
sack,noun,exact,a bag made of paper or plastic for holding customer's purchases,"a bag for holding and carrying goods of any kind; a receptacle made of some kind of pliable material, as cloth, leather, and the like; a large pouch."
sack,noun,exact,the quantity contained in a sack,"a measure of varying capacity, according to local usage and the substance. the american  of salt is 215 pounds; the  of wheat, two bushels."
build,verb,narrower,develop and grow,"to increase and strengthen; to increase the power and stability of; to settle, or establish, and preserve; -- frequently with ; ."
build,verb,exact,build or establish something abstract,"to raise or place on a foundation; to form, establish, or produce by using appropriate means."
build,verb,narrower,"give form to, according to a plan","to erect or construct, as an edifice or fabric of any kind; to form by uniting materials into a regular structure; to fabricate; to make; to raise."
build,verb,exact,be engaged in building,"to exercise the art, or practice the business, of building."
build,verb,exact,found or ground,"to rest or depend, as on a foundation; to ground one's self or one's hopes or opinions upon something deemed reliable; to rely; ."
build,verb,narrower,bolster or strengthen,"to increase and strengthen; to increase the power and stability of; to settle, or establish, and preserve; -- frequently with ; ."
build,verb,narrower,make by combining materials and parts,"to erect or construct, as an edifice or fabric of any kind; to form by uniting materials into a regular structure; to fabricate; to make; to raise."
build,verb,narrower,form or accumulate steadily,"to increase and strengthen; to increase the power and stability of; to settle, or establish, and preserve; -- frequently with ; ."
premiere,verb,exact,perform a work for the first time,"to perform (a play, ballet, or composition) for the first time."
premiere,verb,exact,be performed for the first time,"to be performed for the first time; of a play, ballet, composition, movie, or other literary work."
rush,verb,narrower,move fast,"to move forward with impetuosity, violence, and tumultuous rapidity or haste; ."
rush,verb,narrower,urge to an unnatural speed,to push or urge forward with impetuosity or violence; to hurry forward.
rush,verb,narrower,act or move at high speed,"to move forward with impetuosity, violence, and tumultuous rapidity or haste; ."
rush,verb,narrower,cause to occur rapidly,to push or urge forward with impetuosity or violence; to hurry forward.
rush,verb,narrower,cause to move fast or to rush or race,to push or urge forward with impetuosity or violence; to hurry forward.
prepared,adjective,exact,made ready or fit or suitable beforehand,made fit or suitable; adapted; ready;
prepared,adjective,related,equipped or prepared with necessary intellectual resources,made fit or suitable; adapted; ready;
brink,noun,narrower,a region marking a boundary,"the edge, margin, or border of a steep place, as of a precipice; a bank or edge, as of a river or pit; a verge; a border; . also fig."
brink,noun,narrower,the edge of a steep place,"the edge, margin, or border of a steep place, as of a precipice; a bank or edge, as of a river or pit; a verge; a border; . also fig."
sheath,noun,exact,a protective covering (as for a knife or sword),"a case for the reception of a sword, hunting knife, or other long and slender instrument; a scabbard."
unacquainted,adjective,related,having little or no knowledge of,not acquainted.
plunk,noun,exact,a hollow twanging sound,act or sound of plunking.
countercharge,noun,narrower,a charge brought by an accused person against the accuser,an opposing charge.
countercharge,noun,narrower,a retaliatory charge,an opposing charge.
badly,adverb,narrower,in a disadvantageous way; to someone's disadvantage,in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
badly,adverb,narrower,to a severe or serious degree,in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
badly,adverb,narrower,with great intensity (`bad' is a nonstandard variant for `badly'),in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
badly,adverb,narrower,very much; strongly,in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
badly,adverb,narrower,(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well,in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
badly,adverb,narrower,without skill or in a displeasing manner,in a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
interchange,verb,narrower,put in the place of another; switch seemingly equivalent items,to put each in the place of the other; to give and take mutually; to exchange; to reciprocate;
interchange,verb,exact,cause to change places,to make an interchange; to alternate.
interchange,verb,narrower,"give to, and receive from, one another",to put each in the place of the other; to give and take mutually; to exchange; to reciprocate;
fives,noun,exact,a game resembling handball; played on a court with a front wall and two side walls,"a kind of play with a ball against a wall, resembling tennis; -- so named because three , or , are counted to the game."
loft,noun,exact,(golf) the backward slant on the head of some golf clubs that is designed to drive the ball high in the air,pitch or slope of the face of a club (tending to drive the ball upward).
captive,noun,exact,a person who is confined; especially a prisoner of war,"a prisoner taken by force or stratagem, esp., by an enemy, in war; one kept in bondage or in the power of another."
captive,noun,exact,a person held in the grip of a strong emotion or passion,"one charmed or subdued by beaty, excellence, or affection; one who is captivated."
behind,adverb,broader,in or to or toward the rear,toward the back part or rear; backward; .
behind,adverb,exact,remaining in a place or condition that has been left or departed from,after the departure of another; .
tithe,verb,narrower,levy a tithe on (produce or a crop),to levy a tenth part on; to tax to the amount of a tenth; to pay tithes on.
tithe,verb,narrower,"pay one tenth of; pay tithes on, especially to the church",tp pay tithes.
tithe,verb,narrower,exact a tithe from,to levy a tenth part on; to tax to the amount of a tenth; to pay tithes on.
tithe,verb,narrower,"pay a tenth of one's income, especially to the church",tp pay tithes.
solicitation,noun,narrower,the act of enticing a person to do something wrong (as an offer of sex in return for money),the act of soliciting; earnest request; persistent asking; importunity.
solicitation,noun,narrower,request for a sum of money,the act of soliciting; earnest request; persistent asking; importunity.
starvation,noun,narrower,the act of depriving of food or subjecting to famine,"the act of starving, or the state of being starved."
starvation,noun,narrower,a state of extreme hunger resulting from lack of essential nutrients over a prolonged period,"the act of starving, or the state of being starved."
magnanimous,adjective,narrower,noble and generous in spirit,"great of mind; elevated in soul or in sentiment; raised above what is low, mean, or ungenerous; of lofty and courageous spirit;"
magnanimous,adjective,narrower,generous and understanding and tolerant,"great of mind; elevated in soul or in sentiment; raised above what is low, mean, or ungenerous; of lofty and courageous spirit;"
correctable,adjective,exact,capable of being corrected by additions,capable of being corrected.
disarray,noun,exact,untidiness (especially of clothing and appearance),confused attire; undress.
disarray,noun,related,a mental state characterized by a lack of clear and orderly thought and behavior,want of array or regular order; disorder; confusion.
presence,noun,related,dignified manner or conduct,"the whole of the personal qualities of an individual; person; personality; especially, the person of a superior, as a sovereign."
presence,noun,exact,the immediate proximity of someone or something,"the place in which one is present; the part of space within one's ken, call, influence, etc.; neighborhood without the intervention of anything that forbids intercourse."
presence,noun,exact,the state of being present; current existence,"the state of being present, or of being within sight or call, or at hand; -- opposed to ."
late,adverb,related,at an advanced age or stage,"far in the night, day, week, or other particular period;"
late,adverb,exact,later than usual or than expected,"after the usual or proper time, or the time appointed; after delay; ; -- opposed to ."
late,adverb,exact,in the recent past,not long ago; lately.
left-hander,noun,exact,a person who uses the left hand with greater skill than the right,a person who uses the left hand with greater skill than the right; a left-handed{1} person.
jackknife,noun,exact,a large knife with one or more folding blades,"a large, strong clasp knife for the pocket; a pocket knife."
dynamism,noun,exact,any of the various theories or doctrines or philosophical systems that attempt to explain the phenomena of the universe in terms of some immanent force or energy,"the doctrine of leibnitz, that all substance involves force."
adjustable,adjective,narrower,capable of being changed so as to match or fit,capable of being adjusted.
adjustable,adjective,narrower,capable of being regulated,capable of being adjusted.
spat,verb,related,engage in a brief and petty quarrel,to dispute.
spat,verb,narrower,clap one's hands together,"to slap, as with the open hand; to clap together; as the hands."
spat,verb,exact,spawn,"to emit spawn; to emit, as spawn."
spat,verb,narrower,clap one's hands or shout after performances to indicate approval,"to slap, as with the open hand; to clap together; as the hands."
jejunity,noun,narrower,the quality of being vapid and unsophisticated,the quality of being jejune; jejuneness.
jejunity,noun,narrower,quality of lacking nutritive value,the quality of being jejune; jejuneness.
spender,noun,narrower,someone who spends money prodigally,"one who spends; esp., one who spends lavishly; a prodigal; a spendthrift."
spender,noun,narrower,someone who spends money to purchase goods or services,"one who spends; esp., one who spends lavishly; a prodigal; a spendthrift."
blue,adjective,exact,filled with melancholy and despondency,low in spirits; melancholy; .
blue,adjective,exact,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,"having the color of the clear sky, or a hue resembling it, whether lighter or darker; ."
blue,adjective,exact,morally rigorous and strict,"severe or over strict in morals; gloom; ; suiting one who is over strict in morals; inculcating an impracticable, severe, or gloomy mortality; ."
blue,adjective,exact,causing dejection,suited to produce low spirits; gloomy in prospect; .
creole,noun,exact,a person descended from French ancestors in southern United States (especially Louisiana),"one born of european parents in the american colonies of france or spain or in the states which were once such colonies, esp. a person of french or spanish descent, who is a native inhabitant of louisiana, or one of the states adjoining, bordering on the gulf of of mexico."
bump,verb,exact,knock against with force or violence,to come in violent contact with something; to thump.
finespun,adjective,narrower,developed with extreme delicacy and subtlety,"spun so as to be fine; drawn to a fine thread; attenuated; hence, unsubstantial; visionary; ."
finespun,adjective,narrower,developed in excessively fine detail,"spun so as to be fine; drawn to a fine thread; attenuated; hence, unsubstantial; visionary; ."
quill,noun,exact,the hollow spine of a feather,"one of the large feathers of a bird's wing, or one of the rectrices of the tail; also, the stock of such a feather."
quill,noun,exact,pen made from a bird's feather,a pen for writing made by sharpening and splitting the point or nib of the stock of a feather; .
ornamentation,noun,related,something used to beautify,that which ornaments.
ornamentation,noun,narrower,the state of being ornamented,"the act or art of ornamenting, or the state of being ornamented."
ornamentation,noun,narrower,the act of adding extraneous decorations to something,"the act or art of ornamenting, or the state of being ornamented."
retrograde,adjective,exact,moving or directed or tending in a backward direction or contrary to a previous direction,tending or moving backward; having a backward course; contrary; ; -- opposed to .
retrograde,adjective,exact,going from better to worse,declining from a better to a worse state;
retrograde,adjective,exact,moving from east to west on the celestial sphere; or--for planets--around the sun in a direction opposite to that of the Earth,"apparently moving backward, and contrary to the succession of the signs, that is, from east to west, as a planet."
call,verb,narrower,assign a specified (usually proper) proper name to,"to give name to; to name; to address, or speak of, by a specifed name."
call,verb,narrower,"greet, as with a prescribed form, title, or name","to give name to; to name; to address, or speak of, by a specifed name."
call,verb,narrower,"make a demand, as for a card or a suit or a show of hands","to make a demand, requirement, or request."
call,verb,narrower,demand payment of (a loan),"to make a demand, requirement, or request."
call,verb,related,utter a characteristic note or cry,to speak in loud voice; to cry out; to address by name; -- sometimes with .
call,verb,narrower,make a stop in a harbour,"to make a brief visit; also, to stop at some place designated, as for orders."
call,verb,exact,call a meeting; invite or command to meet,to command or request to come or be present; to summon; .
call,verb,narrower,utter a sudden loud cry,to utter in a loud or distinct voice; -- often with ; .
call,verb,narrower,ascribe a quality to or give a name of a common noun that reflects a quality,to regard or characterize as of a certain kind; to denominate; to designate.
call,verb,exact,rouse somebody from sleep with a call,to rouse from sleep; to awaken.
call,verb,narrower,"order, request, or command to come",to invite or command to meet; to convoke; -- often with ; ; to appoint and summon; .
call,verb,narrower,utter in a loud voice or announce,to utter in a loud or distinct voice; -- often with ; .
call,verb,narrower,"order, summon, or request for a specific duty or activity, work, role","to summon to the discharge of a particular duty; to designate for an office, or employment, especially of a religious character; -- often used of a divine summons; ; sometimes, to invite; ."
call,verb,exact,consider or regard as being,to regard or characterize as of a certain kind; to denominate; to designate.
call,verb,narrower,declare in the capacity of an umpire or referee,"to summon to the discharge of a particular duty; to designate for an office, or employment, especially of a religious character; -- often used of a divine summons; ; sometimes, to invite; ."
call,verb,narrower,order or request or give a command for,"to make a demand, requirement, or request."
bahrein,noun,exact,an island country in the Persian Gulf off the coast of Saudi Arabia; oil revenues funded progressive programs until reserves were exhausted in 1970s,an island country in the persian gulf.
bahrein,noun,exact,an island in the Persian Gulf,an island in the persian gulf; same as .
contract,verb,narrower,squeeze or press together,"to draw together or nearer; to reduce to a less compass; to shorten, narrow, or lessen; ."
contract,verb,narrower,make smaller,to be drawn together so as to be diminished in size or extent; to shrink; to be reduced in compass or in duration; .
contract,verb,exact,enter into a contractual arrangement,"to enter into, with mutual obligations; to make a bargain or covenant for."
contract,verb,related,"be stricken by an illness, fall victim to an illness",to bring on; to incur; to acquire; .
contract,verb,exact,become smaller or draw together,to be drawn together so as to be diminished in size or extent; to shrink; to be reduced in compass or in duration; .
contract,verb,narrower,make or become more narrow or restricted,"to draw together or nearer; to reduce to a less compass; to shorten, narrow, or lessen; ."
establish,verb,exact,set up or found,"to originate and secure the permanent existence of; to found; to institute; to create and regulate; -- said of a colony, a state, or other institutions."
establish,verb,exact,"establish the validity of something, as by an example, explanation or experiment",to secure public recognition in favor of; to prove and cause to be accepted as true;
establish,verb,narrower,build or establish something abstract,to make stable or firm; to fix immovably or firmly; to set (a thing) in a place and make it stable there; to settle; to confirm.
establish,verb,exact,"institute, enact, or establish","to appoint or constitute for permanence, as officers, laws, regulations, etc.; to enact; to ordain."
establish,verb,narrower,place,to make stable or firm; to fix immovably or firmly; to set (a thing) in a place and make it stable there; to settle; to confirm.
drag,verb,narrower,"pull, as against a resistance","to draw slowly or heavily onward; to pull along the ground by main force; to haul; to trail; -- applied to drawing heavy or resisting bodies or those inapt for drawing, with labor, along the ground or other surface;"
drag,verb,exact,search (as the bottom of a body of water) for something valuable or lost,"to break, as land, by drawing a drag or harrow over it; to harrow; to draw a drag along the bottom of, as a stream or other water; hence, to search, as by means of a drag."
drag,verb,narrower,draw slowly or heavily,"to draw slowly or heavily onward; to pull along the ground by main force; to haul; to trail; -- applied to drawing heavy or resisting bodies or those inapt for drawing, with labor, along the ground or other surface;"
drag,verb,narrower,to lag or linger behind,"to move onward heavily, laboriously, or slowly; to advance with weary effort; to go on lingeringly."
drag,verb,narrower,move slowly and as if with great effort,"to move onward heavily, laboriously, or slowly; to advance with weary effort; to go on lingeringly."
come,verb,narrower,"reach or enter a state, relation, condition, use, or position","to get to be, as the result of change or progress; -- with a predicate; ."
come,verb,exact,"move toward, travel toward something or somebody or approach something or somebody","to move hitherward; to draw near; to approach the speaker, or some place or person indicated; -- opposed to ."
come,verb,exact,reach a destination; arrive by movement or progress,to complete a movement toward a place; to arrive.
come,verb,related,"come to pass; arrive, as in due course","to approach or arrive, as the result of a cause, or of the act of another."
come,verb,narrower,develop into,"to get to be, as the result of change or progress; -- with a predicate; ."
come,verb,narrower,proceed or get along,to carry through; to succeed in; .
come,verb,related,cover a certain distance,to carry through; to succeed in; .
come,verb,narrower,to be the product or result,"to get to be, as the result of change or progress; -- with a predicate; ."
come,verb,narrower,happen as a result,"to get to be, as the result of change or progress; -- with a predicate; ."
dragoon,verb,exact,"compel by coercion, threats, or crude means",to compel submission by violent measures; to harass; to persecute.
dragoon,verb,exact,subjugate by imposing troops,to harass or reduce to subjection by dragoons; to persecute by abandoning a place to the rage of soldiers.
colonnade,noun,narrower,a structure composed of a series of arches supported by columns,"a series or range of columns placed at regular intervals with all the adjuncts, as entablature, stylobate, roof, etc."
colonnade,noun,narrower,structure consisting of a row of evenly spaced columns,"a series or range of columns placed at regular intervals with all the adjuncts, as entablature, stylobate, roof, etc."
wall,noun,narrower,a masonry fence (as around an estate or garden),"a work or structure of stone, brick, or other materials, raised to some height, and intended for defense or security, solid and permanent inclosing fence, as around a field, a park, a town, etc., also, one of the upright inclosing parts of a building or a room."
wall,noun,narrower,a layer of material that encloses space,"a work or structure of stone, brick, or other materials, raised to some height, and intended for defense or security, solid and permanent inclosing fence, as around a field, a park, a town, etc., also, one of the upright inclosing parts of a building or a room."
wall,noun,narrower,anything that suggests a wall in structure or function or effect,"a work or structure of stone, brick, or other materials, raised to some height, and intended for defense or security, solid and permanent inclosing fence, as around a field, a park, a town, etc., also, one of the upright inclosing parts of a building or a room."
wall,noun,narrower,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure,"a work or structure of stone, brick, or other materials, raised to some height, and intended for defense or security, solid and permanent inclosing fence, as around a field, a park, a town, etc., also, one of the upright inclosing parts of a building or a room."
wall,noun,exact,an embankment built around a space for defensive purposes,"a defense; a rampart; a means of protection; in the plural, fortifications, in general; works for defense."
rectangular,adjective,narrower,having four right angles,right-angled; having one or more angles of ninety degrees.
rectangular,adjective,narrower,having a set of mutually perpendicular axes; meeting at right angles,right-angled; having one or more angles of ninety degrees.
default,noun,exact,act of failing to meet a financial obligation,a failing or failure; omission of that which ought to be done; neglect to do what duty or law requires; .
statics,noun,exact,the branch of mechanics concerned with forces in equilibrium,"that branch of mechanics which treats of the equilibrium of forces, or relates to bodies as held at rest by the forces acting on them; -- distinguished from ."
principal,noun,related,the major party to a financial transaction at a stock exchange; buys and sells for his own account,"a leader, chief, or head; one who takes the lead; one who acts independently, or who has controlling authority or influence; ; -- distinguished from a , , , or ."
principal,noun,related,the educator who has executive authority for a school,"a leader, chief, or head; one who takes the lead; one who acts independently, or who has controlling authority or influence; ; -- distinguished from a , , , or ."
demand,verb,narrower,ask to be informed of,to make a demand; to inquire.
demand,verb,exact,"require as useful, just, or proper","to require as necessary or useful; to be in urgent need of; hence, to call for; ."
demand,verb,narrower,lay legal claim to,"to ask or call for with authority; to claim or seek from, as by authority or right; to claim, as something due; to call for urgently or peremptorily;"
demand,verb,exact,summon to court,to call into court; to summon.
demand,verb,narrower,claim as due or just,"to ask or call for with authority; to claim or seek from, as by authority or right; to claim, as something due; to call for urgently or peremptorily;"
demand,verb,narrower,request urgently and forcefully,to make a demand; to inquire.
newcomer,noun,exact,any new participant in some activity,one who has lately come.
acetate,noun,exact,a salt or ester of acetic acid,a salt formed by the union of acetic acid with a base or positive radical; .
lenient,adjective,narrower,not strict,mild; clement; merciful; not rigorous or severe;
lenient,adjective,narrower,characterized by tolerance and mercy,mild; clement; merciful; not rigorous or severe;
lenient,adjective,narrower,tolerant or lenient,mild; clement; merciful; not rigorous or severe;
lighter,noun,narrower,a device for lighting or igniting fuel or charges or fires,"one who, or that which, lights; ."
lighter,noun,related,a flatbottom boat for carrying heavy loads (especially on canals),"a large boat or barge, mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery."
lighter,noun,narrower,a substance used to ignite or kindle a fire,"one who, or that which, lights; ."
bus,noun,exact,a vehicle carrying many passengers; used for public transport,an omnibus.
avuncular,adjective,exact,being or relating to an uncle,of or pertaining to an uncle.
hare,noun,exact,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,"a rodent of the genus , having long hind legs, a short tail, and a divided upper lip.  it is a timid animal, moves swiftly by leaps, and is remarkable for its fecundity."
ringdove,noun,exact,Eurasian pigeon with white patches on wings and neck,"a european wild pigeon () having a white crescent on each side of the neck, whence the name. called also , and ."
trot,verb,exact,ride at a trot,"to proceed by a certain gait peculiar to quadrupeds; to ride or drive at a trot. see ,"
trot,verb,exact,cause to trot,"to cause to move, as a horse or other animal, in the pace called a trot; to cause to run without galloping or cantering."
trot,verb,exact,run at a moderately swift pace,fig.: to run; to jog; to hurry.
nativism,noun,exact,the policy of perpetuating native cultures (in opposition to acculturation),"the disposition to favor the native inhabitants of a country, in preference to immigrants from foreign countries."
nativism,noun,exact,(philosophy) the philosophical theory that some ideas are innate,"the doctrine of innate ideas, or that the mind possesses forms of thought independent of sensation."
contractor,noun,exact,someone (a person or firm) who contracts to build things,"one who contracts; one of the parties to a bargain; one who covenants to do anything for another; specifically, one who contracts to perform work on a rather large scale, at a certain price or rate, as in building houses or making a railroad."
sterility,noun,broader,(of non-living objects) the state of being free of pathogenic organisms,the quality or condition of being sterile.
sterility,noun,broader,the state of being unable to produce offspring; in a woman it is an inability to conceive; in a man it is an inability to impregnate,"quality of being sterile; infecundity; also, the state of being free from germs or spores."
parthenogenesis,noun,exact,process in which an unfertilized egg develops into a new individual; common among insects and some other arthropods,"the production of new individuals from virgin females by means of ova which have the power of developing without the intervention of the male element; the production, without fertilization, of cells capable of germination.  it is one of the phenomena of alternate generation.  cf. , and ."
parthenogenesis,noun,exact,human conception without fertilization by a man,"the production of seed without fertilization, believed to occur through the nonsexual formation of an embryo extraneous to the embryonic vesicle."
mush,verb,exact,travel with a dogsled,"to travel on foot, esp. across the snow with dogs."
acceptation,noun,related,acceptance as true or valid,acceptance; reception; favorable reception or regard; state of being acceptable.
acceptation,noun,exact,the accepted meaning of a word,"the meaning in which a word or expression is understood, or generally received; ."
candidate,noun,narrower,a politician who is running for public office,"one who offers himself, or is put forward by others, as a suitable person or an aspirant or contestant for an office, privilege, or honor; ."
candidate,noun,narrower,someone who is considered for something (for an office or prize or honor etc.),"one who offers himself, or is put forward by others, as a suitable person or an aspirant or contestant for an office, privilege, or honor; ."
back,adjective,exact,of an earlier date,being in arrear; overdue; .
back,adjective,narrower,located at or near the back of an animal,being at the back or in the rear; distant; remote; .
back,adjective,narrower,related to or located at the back,being at the back or in the rear; distant; remote; .
aquila,noun,exact,a genus of Accipitridae,a genus of eagles.
aquila,noun,exact,a constellation in the Milky Way near Cygnus; contains the star Altair,a northern constellation southerly from lyra and cygnus and preceding the dolphin; the eagle.
thai,noun,exact,a branch of the Tai languages,the language of thailand (siam); it is a member of the tai group of languages.
burn,verb,broader,"shine intensely, as if with heat","to perfect or improve by fire or heat; to submit to the action of fire or heat for some economic purpose; to destroy or change some property or properties of, by exposure to fire or heat in due degree for obtaining a desired residuum, product, or effect; to bake; ."
burn,verb,exact,undergo combustion,"to combine energetically, with evolution of heat; ."
burn,verb,broader,destroy by fire,to consume with fire; to reduce to ashes by the action of heat or fire; -- frequently intensified by : .
burn,verb,exact,"feel strong emotion, especially anger or passion","to have a condition, quality, appearance, sensation, or emotion, as if on fire or excessively heated; to act or rage with destructive violence; to be in a state of lively emotion or strong desire; ."
burn,verb,narrower,cause to undergo combustion,"to cause to combine with oxygen or other active agent, with evolution of heat; to consume; to oxidize; ."
burn,verb,narrower,cause to burn or combust,"to cause to combine with oxygen or other active agent, with evolution of heat; to consume; to oxidize; ."
burn,verb,exact,feel hot or painful,"to suffer from, or be scorched by, an excess of heat."
burn,verb,narrower,burn at the stake,"to injure by fire or heat; to change destructively some property or properties of, by undue exposure to fire or heat; to scorch; to scald; to blister; to singe; to char; to sear; ."
burn,verb,narrower,cause a sharp or stinging pain or discomfort,"to injure by fire or heat; to change destructively some property or properties of, by undue exposure to fire or heat; to scorch; to scald; to blister; to singe; to char; to sear; ."
burn,verb,narrower,spend (significant amounts of money),"to consume, injure, or change the condition of, as if by action of fire or heat; to affect as fire or heat does; ."
burn,verb,narrower,"burn with heat, fire, or radiation","to consume, injure, or change the condition of, as if by action of fire or heat; to affect as fire or heat does; ."
burn,verb,exact,"burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent",to apply a cautery to; to cauterize.
furtherance,noun,exact,encouragement of the progress or growth or acceptance of something,the act of furthering or helping forward; promotion; advancement; progress.
flora,noun,exact,all the plant life in a particular region or period,"the complete system of vegetable species growing without cultivation in a given locality, region, or period; a list or description of, or treatise on, such plants."
shears,noun,exact,a large edge tool that cuts sheet metal by passing a blade through it,"the bedpiece of a machine tool, upon which a table or slide rest is secured; . see  under ."
unchain,verb,narrower,make free,to free from chains or slavery; to let loose.
unchain,verb,narrower,remove the chains from,to free from chains or slavery; to let loose.
unbroken,adjective,narrower,not broken; whole and intact; in one piece,not broken; continuous; unsubdued; .
unbroken,adjective,narrower,not subdued or trained for service or use,not broken; continuous; unsubdued; .
unbroken,adjective,narrower,marked by continuous or uninterrupted extension in space or time or sequence,not broken; continuous; unsubdued; .
industrious,adjective,exact,characterized by hard work and perseverance,"given to industry; characterized by diligence; constantly, regularly, or habitually occupied; busy; assiduous; not slothful or idle; -- commonly implying devotion to lawful and useful labor."
industrious,adjective,exact,working hard to promote an enterprise,steadily and perseveringly active in a particular pursuit or aim;
superior,adjective,narrower,(often followed by `to') above being affected or influenced by,beyond the power or influence of; too great or firm to be subdued or affected by; -- with .
superior,adjective,related,written or printed above and to one side of another character,more elevated in place or position; higher; upper; .
superior,adjective,narrower,(sometimes followed by `to') not subject to or influenced by,beyond the power or influence of; too great or firm to be subdued or affected by; -- with .
superior,adjective,exact,of high or superior quality or performance,"higher or greater in excellence; surpassing others in the greatness, or value of any quality; greater in quality or degree; ."
superior,adjective,narrower,of or characteristic of high rank or importance,higher in rank or office; more exalted in dignity; .
superior,adjective,related,having an orbit farther from the sun than the Earth's orbit,more elevated in place or position; higher; upper; .
superior,adjective,narrower,having a higher rank,higher in rank or office; more exalted in dignity; .
loch,noun,narrower,a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked),a lake; a bay or arm of the sea.
loch,noun,narrower,Scottish word for a lake,a lake; a bay or arm of the sea.
cortege,noun,exact,a funeral procession,"a procession, especially a funeral procession following the casket carrying a dead person."
cortege,noun,exact,the group following and attending to some important person,a train of attendants; a group following and attending to some important person.
sod,noun,exact,surface layer of ground containing a mat of grass and grass roots,"that stratum of the surface of the soil which is filled with the roots of grass, or any portion of that surface; turf; sward."
buffoon,noun,narrower,a rude or vulgar fool,"a man who makes a practice of amusing others by low tricks, antic gestures, etc.; a droll; a mimic; a harlequin; a clown; a merry-andrew."
buffoon,noun,narrower,a person who amuses others by ridiculous behavior,"a man who makes a practice of amusing others by low tricks, antic gestures, etc.; a droll; a mimic; a harlequin; a clown; a merry-andrew."
delta,noun,related,an object shaped like an equilateral triangle,"the closed figure produced by connecting three coils or circuits successively, end for end, esp. in a three-phase system; -- often used attributively,"
delta,noun,exact,a low triangular area of alluvial deposits where a river divides before entering a larger body of water,"a tract of land shaped like the letter delta (&delta;), especially when the land is alluvial and inclosed between two or more mouths of a river; ."
sample,noun,exact,all or part of a natural object that is collected and preserved as an example of its class,"a part of anything presented for inspection, or shown as evidence of the quality of the whole; a specimen; ."
sample,noun,exact,a small part of something intended as representative of the whole,example; pattern.
entire,adjective,narrower,(of leaves or petals) having a smooth edge; not broken up into teeth or lobes,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,narrower,constituting the full quantity or extent; complete,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,exact,constituting the undiminished entirety; lacking nothing essential especially not damaged,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,exact,(used of domestic animals) sexually competent,not gelded; -- said of a horse.
interconnected,adjective,exact,reciprocally connected,having internal connections between parts.
interconnected,adjective,exact,operating as a unit,operating as a unit.
rifleman,noun,exact,a soldier whose weapon is a rifle,a soldier armed with a rifle.
indo-european,adjective,narrower,of or relating to the Indo-European language family,"aryan; -- applied to the languages of india and europe which are derived from the prehistoric aryan language; also, pertaining to the people or nations who speak these languages; ."
indo-european,adjective,narrower,of or relating to the former Indo-European people,"aryan; -- applied to the languages of india and europe which are derived from the prehistoric aryan language; also, pertaining to the people or nations who speak these languages; ."
ponderable,adjective,exact,capable of being weighed or considered,capable of being weighed; having appreciable weight.
